"1","What is the population of a Aruban city?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>  }","377400"
"2","What is the population of Aruban cities?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>  }","377400"
"3","What was the population of a Aruban city?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>  }","377400"
"4","What was the population of Aruban cities?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>  }","377400"
"7","What is the population of a Aruban settlement?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>  }","2254"
"8","What is the population of Aruban settlements?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>  }","2254"
"9","What was the population of a Aruban settlement?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>  }","2254"
"10","What was the population of Aruban settlements?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>  }","2254"
"13","What is the population of a Aruban populated place?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PopulatedPlace>  }","2254"
"14","What is the population of Aruban populated places?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PopulatedPlace>  }","2254"
"15","What was the population of a Aruban populated place?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PopulatedPlace>  }","2254"
"16","What was the population of Aruban populated places?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PopulatedPlace>  }","2254"
"19","What is the population of a Aruban place?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>  }","2254"
"20","What is the population of Aruban places?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>  }","2254"
"21","What was the population of a Aruban place?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>  }","2254"
"22","What was the population of Aruban places?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>  }","2254"
"25","What is the population of a Aruban village?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Village>  }","9493"
"26","What is the population of Aruban villages?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Village>  }","9493"
"27","What was the population of a Aruban village?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Village>  }","9493"
"28","What was the population of Aruban villages?","SELECT ?o  WHERE { 	?s <http://dbpedia.org/ontology/populationTotal> ?o . ?s <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Algeria> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Village>  }","9493"
