"1","What was built in ?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  """"    }","Yerevan Thermal Power Plant"
"2","What were built in ?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  """"    }","Yerevan Thermal Power Plant"
"3","What was built in ()?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""()""    }","Napier Bridge"
"4","What were built in ()?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""()""    }","Napier Bridge"
"5","What was built in 1100?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1100""    }","Shamo Dam"
"6","What were built in 1100?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1100""    }","Shamo Dam"
"7","What was built in 1600?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1600""    }","Villa degli Azzoni Avogadro (Bivai)"
"8","What were built in 1600?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1600""    }","Villa degli Azzoni Avogadro (Bivai)"
"9","What was built in 1665?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1665""    }","Brønnum House"
"10","What were built in 1665?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1665""    }","Brønnum House"
"11","What was built in 16th century?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""16th century""    }","Palazzo Ghirlanda-Silva"
"12","What were built in 16th century?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""16th century""    }","Palazzo Ghirlanda-Silva"
"13","What was built in 1784?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1784""    }","La Moneda Palace"
"14","What were built in 1784?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1784""    }","La Moneda Palace"
"15","What was built in 1825?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1825""    }","Porte d'Aix"
"16","What were built in 1825?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1825""    }","Porte d'Aix"
"17","What was built in 1838?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1838""    }","St. Thomas Anglican Church (Shanty Bay, Ontario)"
"18","What were built in 1838?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1838""    }","St. Thomas Anglican Church (Shanty Bay, Ontario)"
"19","What was built in 1851?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1851""    }","Watts Warehouse"
"20","What were built in 1851?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1851""    }","Watts Warehouse"
"21","What was built in 1882?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1882""    }","Woodchester Villa"
"22","What were built in 1882?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1882""    }","Woodchester Villa"
"23","What was built in 1883?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1883""    }","Murray River railway bridge, Albury–Wodonga"
"24","What were built in 1883?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1883""    }","Murray River railway bridge, Albury–Wodonga"
"25","What was built in 1887?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1887""    }","Windsor Station (Montreal)"
"26","What were built in 1887?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1887""    }","Windsor Station (Montreal)"
"27","What was built in 1892?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1892""    }","Chittagong Court Building"
"28","What were built in 1892?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1892""    }","Chittagong Court Building"
"29","What was built in 1893?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1893""    }","York Post Office"
"30","What were built in 1893?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1893""    }","York Post Office"
"31","What was built in 1894?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1894""    }","Woodhead Dam"
"32","What were built in 1894?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1894""    }","Woodhead Dam"
"33","What was built in 1895?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1895""    }","Tigran Melikov's House"
"34","What were built in 1895?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1895""    }","Tigran Melikov's House"
"35","What was built in 1900?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1900""    }","Rosenbad"
"36","What were built in 1900?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1900""    }","Rosenbad"
"37","What was built in 1901?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1901""    }","York Haven Dam"
"38","What were built in 1901?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1901""    }","York Haven Dam"
"39","What was built in 1903?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1903""    }","Palácio Rio Negro (Manaus)"
"40","What were built in 1903?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1903""    }","Palácio Rio Negro (Manaus)"
"41","What was built in 1910?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingStartDate>  ""1910""    }","Weyburn Security Bank Building"
